prod_cycle,base_id,color,start,end
7536,41406,0,155.118,209.818
7537,41407,1,10.452,65.152
7537,41408,1,35.111,91.111
7537,41409,0,54.747,109.447
7537,41410,2,68.165,124.165
7537,41411,2,97.795,153.795
7537,41412,2,107.868,274.268
7537,41413,0,120.661,175.361
7537,41414,2,136.041,192.041
7537,41415,0,148.714,203.414
7537,41416,0,176.687,231.387
7538,41417,2,4.36,60.36
7538,41418,1,36.324,91.024
7538,41419,0,51.121,179.421
7538,41420,2,63.205,119.205
7538,41421,1,76.389,131.089
7538,41422,0,89.377,217.677
7539,41423,2,3.362,59.362
7539,41424,1,18.901,73.601
7539,41425,2,36.885,92.885
7539,41426,0,47.188,101.888
7540,41427,2,33.041,89.041
7540,41428,1,63.321,118.021
7540,41429,2,72.655,128.655
7540,41430,1,87.652,179.152
7540,41431,2,103.953,159.953
7541,41432,0,4.875,59.575
7541,41433,2,20.649,76.649
7542,41434,1,1.658,56.358
7542,41435,2,33.511,89.511
7543,41436,0,27.429,82.129
7543,41437,1,42.667,98.667
7543,41438,1,52.838,107.538
7543,41439,2,85.424,141.424
7543,41440,0,108.776,163.476
7543,41441,1,123.554,179.554
7543,41442,0,143.085,197.785
7544,41443,0,6.11,60.81
7544,41444,0,23.787,188.887
7544,41445,1,55.876,110.576
7544,41446,1,73.833,129.833
7544,41447,0,83.201,137.901
7544,41448,1,98.452,228.052
7545,41449,0,4.467,59.167
7546,41450,0,5.525,60.225
7546,41451,1,21.11,77.11
7546,41452,2,41.45,207.85
7546,41453,2,59.754,115.754
7546,41454,0,67.778,159.278
7546,41455,2,83.943,176.743
7546,41456,2,92.508,148.508
7547,41457,0,0.702,55.402
7547,41458,2,31.072,87.072
7547,41459,0,40.63,95.33
7548,41460,0,7.047,61.747
7548,41461,2,29.88,85.88
7548,41462,0,60.964,115.664
7548,41463,0,74.686,202.986
7548,41464,0,82.987,174.487
7548,41465,0,93.838,148.538
7549,41466,1,8.701,63.401
7549,41467,1,27.472,83.472
7549,41468,0,38.592,93.292
7549,41469,2,50.067,142.867
7549,41470,0,68.158,122.858
7549,41471,1,92.927,185.727
7549,41472,1,110.977,165.677
7549,41473,0,129.664,221.164
7549,41474,1,139.791,194.491
7549,41475,0,155.902,247.402
7550,41476,0,3.994,58.694
7550,41477,1,17.218,73.218
7550,41478,2,34.905,238.105
7550,41479,1,44.064,98.764
7550,41480,2,61.027,117.027
7550,41481,1,81.405,136.105
7550,41482,2,98.038,154.038
7550,41483,1,123.992,178.692
7550,41484,2,135.275,191.275
7551,41485,0,5.473,60.173
7551,41486,2,14.683,70.683
7551,41487,0,29.818,158.118
7551,41488,1,43.292,97.992
7552,41489,0,17.186,71.886
7553,41490,2,0.497,56.497
7553,41491,1,30.614,85.314
7553,41492,1,40.225,96.225
7554,41493,2,0.873,56.873
7554,41494,1,11.693,66.393
7554,41495,2,30.099,86.099
7554,41496,2,42.225,171.825
7554,41497,1,65.107,119.807
7554,41498,2,73.244,129.244
7554,41499,0,91.553,146.253
7555,41500,1,5.692,60.392
7555,41501,2,31.318,87.318
7555,41502,2,42.35,171.95
7555,41503,2,62.884,118.884
7556,41504,1,15.871,70.571
7556,41505,1,37.189,93.189
7556,41506,0,53.586,108.286
7556,41507,0,71.157,199.457
7556,41508,2,81.269,137.269
7556,41509,0,96.866,151.566
7557,41510,0,4.756,59.456
7557,41511,1,20.681,76.681
7557,41512,1,38.402,93.102
7557,41513,2,60.483,116.483
7557,41514,0,77.799,132.499
7557,41515,2,92.749,148.749
7558,41516,0,1.09,55.79
7558,41517,0,13.022,141.322
7558,41518,1,22.937,78.937
7558,41519,0,46.586,101.286
7558,41520,1,65.268,121.268
7559,41521,1,8.421,63.121
7559,41522,0,37.165,91.865
7559,41523,0,45.569,210.669
7559,41524,1,54.571,110.571
7559,41525,0,63.756,118.456
7559,41526,2,83.106,139.106
7559,41527,1,112.125,166.825
7559,41528,2,133.79,189.79
7560,41529,2,12.188,68.188
7560,41530,1,32.442,87.142
7560,41531,2,48.486,104.486
7560,41532,2,58.468,224.868
7560,41533,1,67.536,122.236
7560,41534,2,84.952,140.952
7560,41535,2,107.727,310.927
7560,41536,2,131.865,187.865
7560,41537,2,140.095,269.695
7561,41538,1,8.411,63.111
7561,41539,2,31.143,87.143
7561,41540,1,50.677,105.377
7562,41541,1,4.369,59.069
7562,41542,1,17.837,73.837
7562,41543,2,34.799,201.199
7562,41544,0,44.947,99.647
7562,41545,1,65.477,121.477
7562,41546,0,75.378,130.078
7562,41547,1,106.113,160.813
7562,41548,2,119.599,212.399
7563,41549,1,4.074,58.774
7563,41550,1,29.405,84.105
7563,41551,2,54.163,110.163
7563,41552,1,64.192,118.892
7563,41553,0,88.985,180.485
7564,41554,2,14.468,70.468
7564,41555,1,27.785,82.485
7564,41556,0,53.471,108.171
7564,41557,0,84.658,139.358
7564,41558,2,102.177,158.177
7564,41559,2,111.289,240.889
7564,41560,0,143.803,198.503
7564,41561,1,166.596,258.096
7565,41562,0,1.118,55.818
7566,41563,2,4.703,60.703
7566,41564,2,19.113,185.513
7566,41565,2,40.14,96.14
7566,41566,2,61.767,228.167
7566,41567,0,92.037,146.737
7566,41568,0,109.022,310.922
7566,41569,1,122.272,176.972
7566,41570,0,143.686,271.986
7566,41571,0,159.298,213.998
7566,41572,1,185.4,240.1
7567,41573,2,26.623,82.623
7567,41574,0,36.42,91.12
7567,41575,2,48.23,177.83
7567,41576,1,68.925,123.625
7567,41577,2,83.428,139.428
7567,41578,2,92.217,221.817
7567,41579,1,139.823,194.523
7567,41580,2,169.847,262.647
7568,41581,2,17.116,73.116
7568,41582,1,30.826,85.526
7569,41583,0,0.352,55.052
7569,41584,1,11.254,67.254
7569,41585,1,39.566,94.266
7569,41586,1,58.772,114.772
7570,41587,2,22.451,78.451
7570,41588,1,52.982,107.682
7570,41589,2,73.351,129.351
7570,41590,0,101.196,155.896
7570,41591,0,109.66,237.96
7570,41592,0,127.2,181.9
7570,41593,1,136.442,192.442
7571,41594,2,8.56,64.56
7571,41595,2,17.415,147.015
7571,41596,0,37.352,92.052
7571,41597,1,48.825,104.825
7572,41598,1,4.232,58.932
7572,41599,1,16.53,72.53
7572,41600,1,30.065,84.765
7572,41601,2,42.176,98.176
7573,41602,2,2.812,58.812
7573,41603,0,23.823,78.523
7573,41604,2,51.976,107.976
7573,41605,2,77.71,133.71
7573,41606,0,88.6,143.3
7573,41607,0,110.369,201.869
7573,41608,2,138.384,194.384
7574,41609,0,2.387,57.087
7575,41610,0,5.24,59.94
